    1,medicine1                                        ,  2.000000,       100,tablet             ,300                ,D
 2658,medicine2658                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2659,medicine2659                                     , 10.000000,       100,injection          ,9mg                ,D
 2660,medicine2660                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2661,medicine2661                                     ,  2.000000,       100,injection          ,1mg                ,D
 2662,medicine2662                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2663,medicine2663                                     ,  4.000000,       100,injection          ,3mg                ,D
 2664,medicine2664                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2665,medicine2665                                     ,  6.000000,       100,injection          ,5mg                ,D
 2666,medicine2666                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2667,medicine2667                                     ,  8.000000,       100,injection          ,7mg                ,D
 2668,medicine2668                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2669,medicine2669                                     , 10.000000,       100,injection          ,9mg                ,D
 2670,medicine2670                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2671,medicine2671                                     ,  2.000000,       100,injection          ,1mg                ,D
 2672,medicine2672                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2673,medicine2673                                     ,  4.000000,       100,injection          ,3mg                ,D
 2674,medicine2674                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2675,medicine2675                                     ,  6.000000,       100,injection          ,5mg                ,D
 2676,medicine2676                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2677,medicine2677                                     ,  8.000000,       100,injection          ,7mg                ,D
 2678,medicine2678                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2679,medicine2679                                     , 10.000000,       100,injection          ,9mg                ,D
 2680,medicine2680                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2681,medicine2681                                     ,  2.000000,       100,injection          ,1mg                ,D
 2682,medicine2682                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2683,medicine2683                                     ,  4.000000,       100,injection          ,3mg                ,D
 2684,medicine2684                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2685,medicine2685                                     ,  6.000000,       100,injection          ,5mg                ,D
 2686,medicine2686                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2687,medicine2687                                     ,  8.000000,       100,injection          ,7mg                ,D
 2688,medicine2688                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2689,medicine2689                                     , 10.000000,       100,injection          ,9mg                ,D
 2690,medicine2690                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2691,medicine2691                                     ,  2.000000,       100,injection          ,1mg                ,D
 2692,medicine2692                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2693,medicine2693                                     ,  4.000000,       100,injection          ,3mg                ,D
 2694,medicine2694                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2695,medicine2695                                     ,  6.000000,       100,injection          ,5mg                ,D
 2696,medicine2696                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2697,medicine2697                                     ,  8.000000,       100,injection          ,7mg                ,D
 2698,medicine2698                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2699,medicine2699                                     , 10.000000,       100,injection          ,9mg                ,D
 2700,medicine2700                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2701,medicine2701                                     ,  2.000000,       100,injection          ,1mg                ,D
 2702,medicine2702                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2703,medicine2703                                     ,  4.000000,       100,injection          ,3mg                ,D
 2704,medicine2704                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2705,medicine2705                                     ,  6.000000,       100,injection          ,5mg                ,D
 2706,medicine2706                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2707,medicine2707                                     ,  8.000000,       100,injection          ,7mg                ,D
 2708,medicine2708                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2709,medicine2709                                     , 10.000000,       100,injection          ,9mg                ,D
 2710,medicine2710                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2711,medicine2711                                     ,  2.000000,       100,injection          ,1mg                ,D
 2712,medicine2712                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2713,medicine2713                                     ,  4.000000,       100,injection          ,3mg                ,D
 2714,medicine2714                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2715,medicine2715                                     ,  6.000000,       100,injection          ,5mg                ,D
 2716,medicine2716                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2717,medicine2717                                     ,  8.000000,       100,injection          ,7mg                ,D
 2718,medicine2718                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2719,medicine2719                                     , 10.000000,       100,injection          ,9mg                ,D
 2720,medicine2720                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2721,medicine2721                                     ,  2.000000,       100,injection          ,1mg                ,D
 2722,medicine2722                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2723,medicine2723                                     ,  4.000000,       100,injection          ,3mg                ,D
 2724,medicine2724                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2725,medicine2725                                     ,  6.000000,       100,injection          ,5mg                ,D
 2726,medicine2726                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2727,medicine2727                                     ,  8.000000,       100,injection          ,7mg                ,D
 2728,medicine2728                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2729,medicine2729                                     , 10.000000,       100,injection          ,9mg                ,D
 2730,medicine2730                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2731,medicine2731                                     ,  2.000000,       100,injection          ,1mg                ,D
 2732,medicine2732                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2733,medicine2733                                     ,  4.000000,       100,injection          ,3mg                ,D
 2734,medicine2734                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2735,medicine2735                                     ,  6.000000,       100,injection          ,5mg                ,D
 2736,medicine2736                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2737,medicine2737                                     ,  8.000000,       100,injection          ,7mg                ,D
 2738,medicine2738                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2739,medicine2739                                     , 10.000000,       100,injection          ,9mg                ,D
 2740,medicine2740                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2741,medicine2741                                     ,  2.000000,       100,injection          ,1mg                ,D
 2742,medicine2742                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2743,medicine2743                                     ,  4.000000,       100,injection          ,3mg                ,D
 2744,medicine2744                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2745,medicine2745                                     ,  6.000000,       100,injection          ,5mg                ,D
 2746,medicine2746                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2747,medicine2747                                     ,  8.000000,       100,injection          ,7mg                ,D
 2748,medicine2748                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2749,medicine2749                                     , 10.000000,       100,injection          ,9mg                ,D
 2750,medicine2750                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2751,medicine2751                                     ,  2.000000,       100,injection          ,1mg                ,D
 2752,medicine2752                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2753,medicine2753                                     ,  4.000000,       100,injection          ,3mg                ,D
 2754,medicine2754                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2755,medicine2755                                     ,  6.000000,       100,injection          ,5mg                ,D
 2756,medicine2756                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2757,medicine2757                                     ,  8.000000,       100,injection          ,7mg                ,D
 2758,medicine2758                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2759,medicine2759                                     , 10.000000,       100,injection          ,9mg                ,D
 2760,medicine2760                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2761,medicine2761                                     ,  2.000000,       100,injection          ,1mg                ,D
 2762,medicine2762                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2763,medicine2763                                     ,  4.000000,       100,injection          ,3mg                ,D
 2764,medicine2764                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2765,medicine2765                                     ,  6.000000,       100,injection          ,5mg                ,D
 2766,medicine2766                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2767,medicine2767                                     ,  8.000000,       100,injection          ,7mg                ,D
 2768,medicine2768                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2769,medicine2769                                     , 10.000000,       100,injection          ,9mg                ,D
 2770,medicine2770                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2771,medicine2771                                     ,  2.000000,       100,injection          ,1mg                ,D
 2772,medicine2772                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2773,medicine2773                                     ,  4.000000,       100,injection          ,3mg                ,D
 2774,medicine2774                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2775,medicine2775                                     ,  6.000000,       100,injection          ,5mg                ,D
 2776,medicine2776                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2777,medicine2777                                     ,  8.000000,       100,injection          ,7mg                ,D
 2778,medicine2778                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2779,medicine2779                                     , 10.000000,       100,injection          ,9mg                ,D
 2780,medicine2780                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2781,medicine2781                                     ,  2.000000,       100,injection          ,1mg                ,D
 2782,medicine2782                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2783,medicine2783                                     ,  4.000000,       100,injection          ,3mg                ,D
 2784,medicine2784                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2785,medicine2785                                     ,  6.000000,       100,injection          ,5mg                ,D
 2786,medicine2786                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2787,medicine2787                                     ,  8.000000,       100,injection          ,7mg                ,D
 2788,medicine2788                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2789,medicine2789                                     , 10.000000,       100,injection          ,9mg                ,D
 2790,medicine2790                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2791,medicine2791                                     ,  2.000000,       100,injection          ,1mg                ,D
 2792,medicine2792                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2793,medicine2793                                     ,  4.000000,       100,injection          ,3mg                ,D
 2794,medicine2794                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2795,medicine2795                                     ,  6.000000,       100,injection          ,5mg                ,D
 2796,medicine2796                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2797,medicine2797                                     ,  8.000000,       100,injection          ,7mg                ,D
 2798,medicine2798                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2799,medicine2799                                     , 10.000000,       100,injection          ,9mg                ,D
 2800,medicine2800                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2801,medicine2801                                     ,  2.000000,       100,injection          ,1mg                ,D
 2802,medicine2802                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2803,medicine2803                                     ,  4.000000,       100,injection          ,3mg                ,D
 2804,medicine2804                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2805,medicine2805                                     ,  6.000000,       100,injection          ,5mg                ,D
 2806,medicine2806                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2807,medicine2807                                     ,  8.000000,       100,injection          ,7mg                ,D
 2808,medicine2808                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2809,medicine2809                                     , 10.000000,       100,injection          ,9mg                ,D
 2810,medicine2810                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2811,medicine2811                                     ,  2.000000,       100,injection          ,1mg                ,D
 2812,medicine2812                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2813,medicine2813                                     ,  4.000000,       100,injection          ,3mg                ,D
 2814,medicine2814                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2815,medicine2815                                     ,  6.000000,       100,injection          ,5mg                ,D
 2816,medicine2816                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2817,medicine2817                                     ,  8.000000,       100,injection          ,7mg                ,D
 2818,medicine2818                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2819,medicine2819                                     , 10.000000,       100,injection          ,9mg                ,D
 2820,medicine2820                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2821,medicine2821                                     ,  2.000000,       100,injection          ,1mg                ,D
 2822,medicine2822                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2823,medicine2823                                     ,  4.000000,       100,injection          ,3mg                ,D
 2824,medicine2824                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2825,medicine2825                                     ,  6.000000,       100,injection          ,5mg                ,D
 2826,medicine2826                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2827,medicine2827                                     ,  8.000000,       100,injection          ,7mg                ,D
 2828,medicine2828                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2829,medicine2829                                     , 10.000000,       100,injection          ,9mg                ,D
 2830,medicine2830                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2831,medicine2831                                     ,  2.000000,       100,injection          ,1mg                ,D
 2832,medicine2832                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2833,medicine2833                                     ,  4.000000,       100,injection          ,3mg                ,D
 2834,medicine2834                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2835,medicine2835                                     ,  6.000000,       100,injection          ,5mg                ,D
 2836,medicine2836                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2837,medicine2837                                     ,  8.000000,       100,injection          ,7mg                ,D
 2838,medicine2838                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2839,medicine2839                                     , 10.000000,       100,injection          ,9mg                ,D
 2840,medicine2840                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2841,medicine2841                                     ,  2.000000,       100,injection          ,1mg                ,D
 2842,medicine2842                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2843,medicine2843                                     ,  4.000000,       100,injection          ,3mg                ,D
 2844,medicine2844                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2845,medicine2845                                     ,  6.000000,       100,injection          ,5mg                ,D
 2846,medicine2846                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2847,medicine2847                                     ,  8.000000,       100,injection          ,7mg                ,D
 2848,medicine2848                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2849,medicine2849                                     , 10.000000,       100,injection          ,9mg                ,D
 2850,medicine2850                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2851,medicine2851                                     ,  2.000000,       100,injection          ,1mg                ,D
 2852,medicine2852                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2853,medicine2853                                     ,  4.000000,       100,injection          ,3mg                ,D
 2854,medicine2854                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2855,medicine2855                                     ,  6.000000,       100,injection          ,5mg                ,D
 2856,medicine2856                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2857,medicine2857                                     ,  8.000000,       100,injection          ,7mg                ,D
 2858,medicine2858                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2859,medicine2859                                     , 10.000000,       100,injection          ,9mg                ,D
 2860,medicine2860                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2861,medicine2861                                     ,  2.000000,       100,injection          ,1mg                ,D
 2862,medicine2862                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2863,medicine2863                                     ,  4.000000,       100,injection          ,3mg                ,D
 2864,medicine2864                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2865,medicine2865                                     ,  6.000000,       100,injection          ,5mg                ,D
 2866,medicine2866                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2867,medicine2867                                     ,  8.000000,       100,injection          ,7mg                ,D
 2868,medicine2868                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2869,medicine2869                                     , 10.000000,       100,injection          ,9mg                ,D
 2870,medicine2870                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2871,medicine2871                                     ,  2.000000,       100,injection          ,1mg                ,D
 2872,medicine2872                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2873,medicine2873                                     ,  4.000000,       100,injection          ,3mg                ,D
 2874,medicine2874                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2875,medicine2875                                     ,  6.000000,       100,injection          ,5mg                ,D
 2876,medicine2876                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2877,medicine2877                                     ,  8.000000,       100,injection          ,7mg                ,D
 2878,medicine2878                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2879,medicine2879                                     , 10.000000,       100,injection          ,9mg                ,D
 2880,medicine2880                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2881,medicine2881                                     ,  2.000000,       100,injection          ,1mg                ,D
 2882,medicine2882                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2883,medicine2883                                     ,  4.000000,       100,injection          ,3mg                ,D
 2884,medicine2884                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2885,medicine2885                                     ,  6.000000,       100,injection          ,5mg                ,D
 2886,medicine2886                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2887,medicine2887                                     ,  8.000000,       100,injection          ,7mg                ,D
 2888,medicine2888                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2889,medicine2889                                     , 10.000000,       100,injection          ,9mg                ,D
 2890,medicine2890                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2891,medicine2891                                     ,  2.000000,       100,injection          ,1mg                ,D
 2892,medicine2892                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2893,medicine2893                                     ,  4.000000,       100,injection          ,3mg                ,D
 2894,medicine2894                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2895,medicine2895                                     ,  6.000000,       100,injection          ,5mg                ,D
 2896,medicine2896                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2897,medicine2897                                     ,  8.000000,       100,injection          ,7mg                ,D
 2898,medicine2898                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2899,medicine2899                                     , 10.000000,       100,injection          ,9mg                ,D
 2900,medicine2900                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2901,medicine2901                                     ,  2.000000,       100,injection          ,1mg                ,D
 2902,medicine2902                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2903,medicine2903                                     ,  4.000000,       100,injection          ,3mg                ,D
 2904,medicine2904                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2905,medicine2905                                     ,  6.000000,       100,injection          ,5mg                ,D
 2906,medicine2906                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2907,medicine2907                                     ,  8.000000,       100,injection          ,7mg                ,D
 2908,medicine2908                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2909,medicine2909                                     , 10.000000,       100,injection          ,9mg                ,D
 2910,medicine2910                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2911,medicine2911                                     ,  2.000000,       100,injection          ,1mg                ,D
 2912,medicine2912                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2913,medicine2913                                     ,  4.000000,       100,injection          ,3mg                ,D
 2914,medicine2914                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2915,medicine2915                                     ,  6.000000,       100,injection          ,5mg                ,D
 2916,medicine2916                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2917,medicine2917                                     ,  8.000000,       100,injection          ,7mg                ,D
 2918,medicine2918                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2919,medicine2919                                     , 10.000000,       100,injection          ,9mg                ,D
 2920,medicine2920                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2921,medicine2921                                     ,  2.000000,       100,injection          ,1mg                ,D
 2922,medicine2922                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2923,medicine2923                                     ,  4.000000,       100,injection          ,3mg                ,D
 2924,medicine2924                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2925,medicine2925                                     ,  6.000000,       100,injection          ,5mg                ,D
 2926,medicine2926                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2927,medicine2927                                     ,  8.000000,       100,injection          ,7mg                ,D
 2928,medicine2928                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2929,medicine2929                                     , 10.000000,       100,injection          ,9mg                ,D
 2930,medicine2930                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2931,medicine2931                                     ,  2.000000,       100,injection          ,1mg                ,D
 2932,medicine2932                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2933,medicine2933                                     ,  4.000000,       100,injection          ,3mg                ,D
 2934,medicine2934                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2935,medicine2935                                     ,  6.000000,       100,injection          ,5mg                ,D
 2936,medicine2936                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2937,medicine2937                                     ,  8.000000,       100,injection          ,7mg                ,D
 2938,medicine2938                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2939,medicine2939                                     , 10.000000,       100,injection          ,9mg                ,D
 2940,medicine2940                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2941,medicine2941                                     ,  2.000000,       100,injection          ,1mg                ,D
 2942,medicine2942                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2943,medicine2943                                     ,  4.000000,       100,injection          ,3mg                ,D
 2944,medicine2944                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2945,medicine2945                                     ,  6.000000,       100,injection          ,5mg                ,D
 2946,medicine2946                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2947,medicine2947                                     ,  8.000000,       100,injection          ,7mg                ,D
 2948,medicine2948                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2949,medicine2949                                     , 10.000000,       100,injection          ,9mg                ,D
 2950,medicine2950                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2951,medicine2951                                     ,  2.000000,       100,injection          ,1mg                ,D
 2952,medicine2952                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2953,medicine2953                                     ,  4.000000,       100,injection          ,3mg                ,D
 2954,medicine2954                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2955,medicine2955                                     ,  6.000000,       100,injection          ,5mg                ,D
 2956,medicine2956                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2957,medicine2957                                     ,  8.000000,       100,injection          ,7mg                ,D
 2958,medicine2958                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2959,medicine2959                                     , 10.000000,       100,injection          ,9mg                ,D
 2960,medicine2960                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2961,medicine2961                                     ,  2.000000,       100,injection          ,1mg                ,D
 2962,medicine2962                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2963,medicine2963                                     ,  4.000000,       100,injection          ,3mg                ,D
 2964,medicine2964                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2965,medicine2965                                     ,  6.000000,       100,injection          ,5mg                ,D
 2966,medicine2966                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2967,medicine2967                                     ,  8.000000,       100,injection          ,7mg                ,D
 2968,medicine2968                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2969,medicine2969                                     , 10.000000,       100,injection          ,9mg                ,D
 2970,medicine2970                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2971,medicine2971                                     ,  2.000000,       100,injection          ,1mg                ,D
 2972,medicine2972                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2973,medicine2973                                     ,  4.000000,       100,injection          ,3mg                ,D
 2974,medicine2974                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2975,medicine2975                                     ,  6.000000,       100,injection          ,5mg                ,D
 2976,medicine2976                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2977,medicine2977                                     ,  8.000000,       100,injection          ,7mg                ,D
 2978,medicine2978                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2979,medicine2979                                     , 10.000000,       100,injection          ,9mg                ,D
 2980,medicine2980                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2981,medicine2981                                     ,  2.000000,       100,injection          ,1mg                ,D
 2982,medicine2982                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2983,medicine2983                                     ,  4.000000,       100,injection          ,3mg                ,D
 2984,medicine2984                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2985,medicine2985                                     ,  6.000000,       100,injection          ,5mg                ,D
 2986,medicine2986                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2987,medicine2987                                     ,  8.000000,       100,injection          ,7mg                ,D
 2988,medicine2988                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2989,medicine2989                                     , 10.000000,       100,injection          ,9mg                ,D
 2990,medicine2990                                     ,  1.000000,       100,tablet             ,0mg                ,A
 2991,medicine2991                                     ,  2.000000,       100,injection          ,1mg                ,D
 2992,medicine2992                                     ,  3.000000,       100,tablet             ,2mg                ,A
 2993,medicine2993                                     ,  4.000000,       100,injection          ,3mg                ,D
 2994,medicine2994                                     ,  5.000000,       100,tablet             ,4mg                ,A
 2995,medicine2995                                     ,  6.000000,       100,injection          ,5mg                ,D
 2996,medicine2996                                     ,  7.000000,       100,tablet             ,6mg                ,A
 2997,medicine2997                                     ,  8.000000,       100,injection          ,7mg                ,D
 2998,medicine2998                                     ,  9.000000,       100,tablet             ,8mg                ,A
 2999,medicine2999                                     , 10.000000,       100,injection          ,9mg                ,D
 3000,medicine3000                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3001,medicine3001                                     ,  2.000000,       100,injection          ,1mg                ,D
 3002,medicine3002                                     ,  3.000000,       100,tablet             ,2mg                ,A
 3003,medicine3003                                     ,  4.000000,       100,injection          ,3mg                ,D
 3004,medicine3004                                     ,  5.000000,       100,tablet             ,4mg                ,A
 3005,medicine3005                                     ,  6.000000,       100,injection          ,5mg                ,D
 3006,medicine3006                                     ,  7.000000,       100,tablet             ,6mg                ,A
 3007,medicine3007                                     ,  8.000000,       100,injection          ,7mg                ,D
 3008,medicine3008                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3009,medicine3009                                     , 10.000000,       100,injection          ,9mg                ,D
 3010,medicine3010                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3011,medicine3011                                     ,  2.000000,       100,injection          ,1mg                ,D
 3012,medicine3012                                     ,  3.000000,       100,tablet             ,2mg                ,A
 3013,medicine3013                                     ,  4.000000,       100,injection          ,3mg                ,D
 3014,medicine3014                                     ,  5.000000,       100,tablet             ,4mg                ,A
 3015,medicine3015                                     ,  6.000000,       100,injection          ,5mg                ,D
 3016,medicine3016                                     ,  7.000000,       100,tablet             ,6mg                ,A
 3017,medicine3017                                     ,  8.000000,       100,injection          ,7mg                ,D
 3018,medicine3018                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3019,medicine3019                                     , 10.000000,       100,injection          ,9mg                ,D
 3020,medicine3020                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3021,medicine3021                                     ,  2.000000,       100,injection          ,1mg                ,D
 3022,medicine3022                                     ,  3.000000,       100,tablet             ,2mg                ,A
 3023,medicine3023                                     ,  4.000000,       100,injection          ,3mg                ,D
 3024,medicine3024                                     ,  5.000000,       100,tablet             ,4mg                ,A
 3025,medicine3025                                     ,  6.000000,       100,injection          ,5mg                ,D
 3026,medicine3026                                     ,  7.000000,       100,tablet             ,6mg                ,A
 3027,medicine3027                                     ,  8.000000,       100,injection          ,7mg                ,D
 3028,medicine3028                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3029,medicine3029                                     , 10.000000,       100,injection          ,9mg                ,D
 3030,medicine3030                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3031,medicine3031                                     ,  2.000000,       100,injection          ,1mg                ,D
 3032,medicine3032                                     ,  3.000000,       100,tablet             ,2mg                ,A
